Movie_Name,Release_Year,User_votes,Rating,Metascore,Runtime_(Mins),Certified,collection(M),Genre,Lead_actor,Directed_by
Bombshell,2019,"116,956",6.8,64,109,A,,Biography,Charlize Theron,Jay Roach
El Camino: A Breaking Bad Movie,2019,"254,687",7.3,72,122,16,,Action,Aaron Paul,Vince Gilligan
Sound of Metal,2019,"130,584",7.7,82,120,18,,Drama,Riz Ahmed,Darius Marder
Doctor Sleep,2019,"196,384",7.3,59,152,A,,Drama,Ewan McGregor,Mike Flanagan
Polar,2019,"91,758",6.3,19,118,18,,Action,Mads Mikkelsen,Jonas Åkerlund
Portrait of a Lady on Fire,2019,"94,115",8.1,95,122,18,$3.76 ,Drama,Noémie Merlant,Céline Sciamma
Cats,2019,"52,314",2.8,32,110,UA,,Comedy,James Corden,Tom Hooper
Waiting for the Barbarians,2019,"12,679",5.9,52,112,,,Drama,Mark Rylance,Ciro Guerra
Spider-Man: Far from Home,2019,"497,775",7.4,69,129,U,$390.53 ,Action,Tom Holland,Jon Watts
Downton Abbey,2019,"57,781",7.4,64,122,UA,$96.85 ,Drama,Stephen Campbell Moore,Michael Engler
Dronningen,2019,"12,042",7.1,67,127,18,,Drama,Trine Dyrholm,May el-Toukhy
Five Feet Apart,2019,"69,616",7.2,53,116,UA,$45.73 ,Drama,Haley Lu Richardson,Justin Baldoni
Megan,2020,199,4.1,,89,,,Thriller,Sadie Katz,Silvio Nacucchi
Tenet,2020,"510,883",7.3,69,150,UA,$58.46 ,Action,John David Washington,Christopher Nolan
The Devil All the Time,2020,"137,584",7.1,55,138,18,,Crime,Bill Skarsgård,Antonio Campos
The French Dispatch,2020,"125,121",7.1,74,107,A,,Comedy,Benicio Del Toro,Wes Anderson
Enola Holmes,2020,"195,949",6.6,68,123,13,,Action,Millie Bobby Brown,Harry Bradbeer
The Father,2020,"157,054",8.2,88,97,UA,,Drama,Anthony Hopkins,Florian Zeller
Promising Young Woman,2020,"176,675",7.5,73,113,A,,Crime,Carey Mulligan,Emerald Fennell
365 dni,2020,"91,176",3.3,,114,A,,Drama,Anna-Maria Sieklucka,Barbara Bialowas
A Quiet Place Part II,2020,"233,878",7.2,71,97,A,$160.07 ,Drama,Emily Blunt,John Krasinski
Greenland,2020,"119,278",6.4,64,119,UA,,Action,Gerard Butler,Ric Roman Waugh
Big Boys Don't Cry,2020,671,6.8,,90,,,Biography,Daniel Adegboyega,Steve Crowhurst
Hamilton,2020,"96,463",8.4,89,160,12+,,Biography,Lin-Manuel Miranda,Thomas Kail
Palm Springs,2020,"162,267",7.4,83,90,A,,Comedy,Andy Samberg,Max Barbakow
Let Him Go,2020,"28,791",6.7,63,113,R,,Crime,Diane Lane,Thomas Bezucha
Druk,2020,"163,614",7.7,79,117,16,,Comedy,Mads Mikkelsen,Thomas Vinterberg
The Old Guard,2020,"167,867",6.6,70,125,18,,Action,Charlize Theron,Gina Prince-Bythewood
The Babysitter: Killer Queen,2020,"43,063",5.8,22,101,18,,Comedy,Judah Lewis,McG
I'm Thinking of Ending Things,2020,"89,074",6.6,78,134,16,,Drama,Jesse Plemons,Charlie Kaufman
Wonder Woman 1984,2020,"270,727",5.4,60,151,UA,$46.37 ,Action,Gal Gadot,Patty Jenkins
After We Collided,2020,"33,069",5,14,105,18,$2.39 ,Drama,Josephine Langford,Roger Kumble
Freaky,2020,"60,587",6.3,67,102,R,,Comedy,Vince Vaughn,Christopher Landon
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,"242,061",6,60,109,A,$84.16 ,Action,Margot Robbie,Cathy Yan
Archive,2020,"23,504",6.4,67,109,UA 16+,,Drama,Theo James,Gavin Rothery
Extraction,2020,"206,270",6.7,56,116,18,,Action,Chris Hemsworth,Sam Hargrave
Emma.,2020,"55,935",6.7,71,124,UA 13+,,Comedy,Anya Taylor-Joy,Autumn de Wilde
The Courier,2020,"63,485",7.2,65,112,UA,,Drama,Benedict Cumberbatch,Dominic Cooke
Soul,2020,"333,421",8,83,100,U,,Animation,Jamie Foxx,Pete Docter
Ava,2020,"57,306",5.4,39,96,16,$0.50 ,Action,Jessica Chastain,Tate Taylor
The Duke,2020,"9,747",6.9,74,95,R,,Biography,Jim Broadbent,Roger Michell
The Night House,2020,"55,825",6.5,68,107,A,,Horror,Rebecca Hall,David Bruckner
De slag om de Schelde,2020,"31,482",7.1,,124,18,,Drama,Gijs Blom,Matthijs van Heijningen Jr.
Nomadland,2020,"163,629",7.3,91,107,UA,,Drama,Frances McDormand,Chloé Zhao
The Hunt,2020,"116,598",6.5,50,90,R,,Action,Betty Gilpin,Craig Zobel
The New Mutants,2020,"81,466",5.3,43,94,A,,Action,Maisie Williams,Josh Boone
Love and Monsters,2020,"129,959",6.9,63,109,13,$1.07 ,Action,Dylan O'Brien,Michael Matthews
Greyhound,2020,"99,472",7,64,91,A,,Action,Tom Hanks,Aaron Schneider
Underwater,2020,"84,862",5.8,48,95,15+,$17.29 ,Action,Kristen Stewart,William Eubank
The King of Staten Island,2020,"69,847",7.1,67,136,A,,Comedy,Pete Davidson,Judd Apatow
Fantasy Island,2020,"53,762",4.9,22,109,A,$27.31 ,Fantasy,Michael Peña,Jeff Wadlow
The Croods: A New Age,2020,"44,965",6.9,56,95,UA,$58.57 ,Animation,Nicolas Cage,Joel Crawford
Mulan,2020,"149,763",5.7,66,115,12+,,Action,Liu Yifei,Niki Caro
Sonic the Hedgehog,2020,"142,062",6.5,47,99,U,$148.97 ,Action,Ben Schwartz,Jeff Fowler
The Invisible Man,2020,"231,143",7.1,72,124,A,$70.41 ,Drama,Elisabeth Moss,Leigh Whannell
Run,2020,"81,881",6.7,67,90,PG-13,,Mystery,Sarah Paulson,Aneesh Chaganty
Eurovision Song Contest: The Story of Fire Saga,2020,"95,585",6.5,50,123,PG-13,,Comedy,Will Ferrell,David Dobkin
Black Bear,2020,"13,049",6.5,79,104,R,,Comedy,Aubrey Plaza,Lawrence Michael Levine
Boss Level,2020,"69,663",6.8,56,100,,,Action,Frank Grillo,Joe Carnahan
Possessor,2020,"37,747",6.5,72,103,18,,Horror,Andrea Riseborough,Brandon Cronenberg
The Woman in the Window,2020,"76,616",5.7,41,100,18,,Crime,Amy Adams,Joe Wright
All the Bright Places,2020,"33,057",6.5,61,107,18,,Drama,Elle Fanning,Brett Haley
Dune: Part One,2021,"640,759",8,74,155,UA,$108.33 ,Action,Timothée Chalamet,Denis Villeneuve
The Black Phone,2021,"146,269",6.9,65,103,A,$90.12 ,Horror,Mason Thames,Scott Derrickson
The Fallout,2021,"22,843",7,84,96,A,,Drama,Jenna Ortega,Megan Park
Spider-Man: No Way Home,2021,"760,749",8.2,71,148,UA,$804.75 ,Action,Tom Holland,Jon Watts
Encanto,2021,"225,498",7.2,75,102,U,$96.09 ,Animation,Stephanie Beatriz,Jared Bush
No Time to Die,2021,"405,779",7.3,68,163,UA,$160.87 ,Action,Daniel Craig,Cary Joji Fukunaga
Operation Mincemeat,2021,"27,132",6.6,65,128,A,,Drama,Colin Firth,John Madden
Nobody,2021,"257,256",7.4,64,92,A,$27.27 ,Action,Bob Odenkirk,Ilya Naishuller
The Suicide Squad,2021,"355,877",7.2,72,132,A,$55.82 ,Action,Margot Robbie,James Gunn
Last Night in Soho,2021,"141,260",7.1,65,116,A,,Drama,Thomasin McKenzie,Edgar Wright
Licorice Pizza,2021,"118,981",7.2,90,133,A,,Comedy,Alana Haim,Paul Thomas Anderson
Girl in the Basement,2021,"8,532",6.3,,88,,,Crime,Judd Nelson,Elisabeth Röhm
Sing 2,2021,"70,722",7.4,49,110,U,$162.79 ,Animation,Matthew McConaughey,Garth Jennings
Don't Look Up,2021,"540,862",7.2,49,138,18,,Comedy,Leonardo DiCaprio,Adam McKay
Verdens verste menneske,2021,"71,555",7.8,90,128,R,,Comedy,Renate Reinsve,Joachim Trier
Eternals,2021,"344,593",6.3,52,156,UA,$164.87 ,Action,Gemma Chan,Chloé Zhao
The King's Man,2021,"149,721",6.3,44,131,15+,,Action,Ralph Fiennes,Matthew Vaughn
Wrath of Man,2021,"181,077",7.1,57,119,16,,Action,Jason Statham,Guy Ritchie
F9,2021,"134,754",5.2,58,143,UA,$173.20 ,Action,Vin Diesel,Justin Lin
CODA,2021,"135,928",8,72,111,A,,Comedy,Emilia Jones,Sian Heder
Free Guy,2021,"374,237",7.1,62,115,UA,$121.63 ,Action,Ryan Reynolds,Shawn Levy
Ghostbusters: Afterlife,2021,"184,976",7.1,45,124,UA,$129.36 ,Adventure,Carrie Coon,Jason Reitman
House of Gucci,2021,"138,683",6.6,59,158,A,,Biography,Lady Gaga,Ridley Scott
Old,2021,"123,041",5.8,55,108,UA,,Drama,Gael García Bernal,M. Night Shyamalan
The Guilty,2021,"128,265",6.3,63,90,16,,Crime,Jake Gyllenhaal,Antoine Fuqua
Last Looks,2021,"8,212",5.8,49,110,R,,Comedy,Charlie Hunnam,Tim Kirkby
Zack Snyder's Justice League,2021,"401,073",8,54,242,18,,Action,Henry Cavill,Zack Snyder
The Matrix Resurrections,2021,"252,646",5.7,63,148,A,,Action,Keanu Reeves,Lana Wachowski
The Little Things,2021,"106,477",6.3,54,128,A,,Crime,Denzel Washington,John Lee Hancock
Nightmare Alley,2021,"146,233",7,70,150,A,,Crime,Bradley Cooper,Guillermo del Toro
Black Widow,2021,"382,277",6.7,67,134,UA,$183.65 ,Action,Scarlett Johansson,Cate Shortland
The Last Duel,2021,"158,742",7.4,67,152,A,,Action,Matt Damon,Ridley Scott
Shang-Chi and the Legend of the Ten Rings,2021,"385,186",7.4,71,132,UA,$224.54 ,Action,Simu Liu,Destin Daniel Cretton
Pleasure,2021,"17,598",6.4,75,109,R,,Drama,Sofia Kappel,Ninja Thyberg
Red Notice,2021,"279,847",6.3,37,118,13,,Action,Dwayne Johnson,Rawson Marshall Thurber
The Power of the Dog,2021,"177,078",6.8,89,126,16,,Drama,Benedict Cumberbatch,Jane Campion
Marcel the Shell with Shoes On,2021,"9,590",7.8,81,90,PG,$5.79 ,Animation,Jenny Slate,Dean Fleischer-Camp
Malignant,2021,"92,967",6.2,51,111,A,,Crime,Annabelle Wallis,James Wan
The Voyeurs,2021,"23,352",6,54,116,A,,Drama,Sydney Sweeney,Michael Mohan
7 donne e un mistero,2021,"3,265",5.4,,82,UA 13+,,Comedy,Margherita Buy,Alessandro Genovesi
West Side Story,2021,"84,743",7.2,85,156,UA,,Crime,Ansel Elgort,Steven Spielberg
Belfast,2021,"76,455",7.3,75,98,PG-13,,Biography,Jude Hill,Kenneth Branagh
Boiling Point,2021,"29,227",7.5,73,92,R,,Drama,Stephen Graham,Philip Barantini
Infinite,2021,"52,241",5.4,28,106,PG-13,,Action,Mark Wahlberg,Antoine Fuqua
De uskyldige,2021,"16,555",7,79,117,,,Drama,Rakel Lenora Fløttum,Eskil Vogt
Those Who Wish Me Dead,2021,"62,773",6,59,100,UA 16+,,Action,Angelina Jolie,Taylor Sheridan
The Many Saints of Newark,2021,"55,653",6.3,60,120,R,,Crime,Alessandro Nivola,Alan Taylor
The Tomorrow War,2021,"208,030",6.5,45,138,13,,Action,Chris Pratt,Chris McKay
After Yang,2021,"15,808",6.7,78,96,PG,,Drama,Colin Farrell,Kogonada
Pig,2021,"77,018",6.9,82,92,R,,Drama,Nicolas Cage,Michael Sarnoski
The Pale Blue Eye,2022,"52,879",6.7,56,128,UA 16+,,Crime,Christian Bale,Scott Cooper
The Menu,2022,"145,294",7.3,71,107,A,,Comedy,Ralph Fiennes,Mark Mylod
Avatar: The Way of Water,2022,"239,678",7.9,67,192,UA,,Action,Sam Worthington,James Cameron
M3GAN,2022,"18,168",6.7,72,102,A,,Horror,Allison Williams,Gerard Johnstone
Glass Onion,2022,"278,066",7.2,81,139,UA 16+,,Comedy,Daniel Craig,Rian Johnson
The Banshees of Inisherin,2022,"85,931",7.8,87,114,A,,Comedy,Colin Farrell,Martin McDonagh
Puss in Boots: The Last Wish,2022,"35,313",7.8,75,102,U,,Animation,Antonio Banderas,Joel Crawford
Everything Everywhere All at Once,2022,"287,667",8,81,139,A,,Action,Michelle Yeoh,Dan Kwan
Babylon,2022,"12,110",7.4,61,189,R,,Comedy,Brad Pitt,Damien Chazelle
The Fabelmans,2022,"33,136",7.7,84,151,PG-13,,Drama,Michelle Williams,Steven Spielberg
A Man Called Otto,2022,"7,235",7.5,51,126,PG-13,,Comedy,Tom Hanks,Marc Forster
White Noise,2022,"26,944",5.7,66,136,UA 16+,,Comedy,Adam Driver,Noah Baumbach
The Whale,2022,"14,889",8.1,60,117,R,,Drama,Brendan Fraser,Darren Aronofsky
Bullet Train,2022,"265,138",7.3,49,127,A,,Action,Brad Pitt,David Leitch
Top Gun: Maverick,2022,"496,214",8.3,78,130,UA,,Action,Tom Cruise,Joseph Kosinski
Devotion,2022,"8,001",6.7,66,139,U,,Action,Jonathan Majors,J.D. Dillard
Tár,2022,"20,848",7.7,92,158,R,,Drama,Cate Blanchett,Todd Field
X,2022,"104,951",6.6,79,105,R,,Horror,Mia Goth,Ti West
Triangle of Sadness,2022,"60,128",7.5,63,147,R,,Comedy,Thobias Thorwid,Ruben Östlund
Amsterdam,2022,"56,167",6.1,48,134,UA 16+,,Comedy,Christian Bale,David O. Russell
Aftersun,2022,"21,275",7.8,95,102,R,,Drama,Paul Mescal,Charlotte Wells
Elvis,2022,"162,744",7.4,64,159,UA,,Biography,Tom Hanks,Baz Luhrmann
Roald Dahl's Matilda the Musical,2022,"16,588",7.1,72,117,UA 7+,,Comedy,Alisha Weir,Matthew Warchus
Jurassic World: Dominion,2022,"162,944",5.6,38,147,UA,,Action,Chris Pratt,Colin Trevorrow
Guillermo del Toro's Pinocchio,2022,"67,118",7.7,79,117,PG,,Animation,Ewan McGregor,Guillermo del Toro
Barbarian,2022,"119,674",7,78,102,A,,Horror,Georgina Campbell,Zach Cregger
Black Panther: Wakanda Forever,2022,"138,338",7.2,67,161,UA,,Action,Letitia Wright,Ryan Coogler
RRR (Rise Roar Revolt),2022,"127,427",7.9,83,187,UA,,Action,N.T. Rama Rao Jr.,S.S. Rajamouli
Black Adam,2022,"208,306",6.4,41,125,UA,,Action,Dwayne Johnson,Jaume Collet-Serra
Strange World,2022,"30,272",5.6,65,102,PG,,Animation,Jake Gyllenhaal,Don Hall
Women Talking,2022,"1,925",7.5,78,104,PG-13,,Drama,Rooney Mara,Sarah Polley
The Northman,2022,"209,696",7.1,82,137,R,,Action,Alexander Skarsgård,Robert Eggers
The Batman,2022,"656,923",7.8,72,176,UA,,Action,Robert Pattinson,Matt Reeves
She Said,2022,"17,091",7.2,74,129,A,,Drama,Lola Petticrew,Maria Schrader
Don't Worry Darling,2022,"94,242",6.2,48,123,A,,Drama,Florence Pugh,Olivia Wilde
Smile,2022,"94,205",6.6,68,115,A,,Horror,Sosie Bacon,Parker Finn
Where the Crawdads Sing,2022,"73,720",7.1,43,125,UA,,Drama,Daisy Edgar-Jones,Olivia Newman
Im Westen nichts Neues,2022,"106,060",7.8,76,148,A,,Action,Felix Kammerer,Edward Berger
Violent Night,2022,"52,957",6.8,55,112,A,,Action,David Harbour,Tommy Wirkola
Shotgun Wedding,2022,"1,008",6,,100,R,,Action,Jennifer Lopez,Jason Moore
Nope,2022,"190,088",6.9,77,130,A,,Horror,Daniel Kaluuya,Jordan Peele
Empire of Light,2022,"3,176",6.8,54,115,R,,Drama,Olivia Colman,Sam Mendes
Whitney Houston: I Wanna Dance with Somebody,2022,"6,190",6.9,51,144,,,Biography,Naomi Ackie,Kasi Lemmons
Pearl,2022,"38,456",7,73,103,R,,Horror,Mia Goth,Ti West
Bones and All,2022,"28,912",6.9,74,131,18,,Drama,Timothée Chalamet,Luca Guadagnino
Skinamarink,2022,"2,610",5.4,68,100,,,Horror,Jaime Hill,Kyle Edward Ball
Heojil kyolshim,2022,"26,471",7.3,84,139,,,Crime,Park Hae-il,Park Chan-wook
Sick,2022,"3,548",6.2,61,83,R,,Horror,Gideon Adlon,John Hyams
The Woman King,2022,"44,770",6.7,77,135,PG-13,,Action,Viola Davis,Gina Prince-Bythewood
Fall,2022,"51,625",6.4,62,107,PG-13,,Thriller,Grace Caroline Currey,Scott Mann
Bad Times at the El Royale,2018,"152,613",7.1,60,141,16,$17.84 ,Crime,Jeff Bridges,Drew Goddard
First Man,2018,"190,589",7.3,84,141,UA,$44.94 ,Biography,Ryan Gosling,Damien Chazelle
Tomb Raider,2018,"216,541",6.3,48,119,UA,$58.25 ,Action,Alicia Vikander,Roar Uthaug
Maze Runner: The Death Cure,2018,"143,721",6.2,50,143,UA,$58.03 ,Action,Dylan O'Brien,Wes Ball
Mary Poppins Returns,2018,"89,704",6.7,66,130,U,$171.96 ,Adventure,Emily Blunt,Rob Marshall
Creed II,2018,"128,126",7.1,66,130,UA,$115.72 ,Drama,Michael B. Jordan,Steven Caple Jr.
Outlaw King,2018,"74,007",6.9,59,121,18,,Action,Chris Pine,David Mackenzie
Sorry to Bother You,2018,"81,423",6.9,80,112,UA 16+,$17.49 ,Comedy,LaKeith Stanfield,Boots Riley
Mamma Mia! Here We Go Again,2018,"97,594",6.6,60,114,UA,$120.63 ,Comedy,Lily James,Ol Parker
Instant Family,2018,"109,391",7.3,57,118,13,$67.36 ,Comedy,Mark Wahlberg,Sean Anders
The Grinch,2018,"76,537",6.4,51,85,U,$270.62 ,Animation,Benedict Cumberbatch,Yarrow Cheney
The Mule,2018,"139,727",7,58,116,A,$103.80 ,Crime,Clint Eastwood,Clint Eastwood
Isle of Dogs,2018,"171,865",7.8,82,101,U,$32.02 ,Animation,Bryan Cranston,Wes Anderson
Manyeo,2018,"13,500",7.1,,125,18,,Action,Kim Da-mi,Park Hoon-jung
The Predator,2018,"135,460",5.3,48,107,A,$51.02 ,Action,Boyd Holbrook,Shane Black
Upgrade,2018,"188,373",7.5,67,100,18,$11.98 ,Action,Logan Marshall-Green,Leigh Whannell
Tag,2018,"136,132",6.5,56,100,A,$54.55 ,Action,Jeremy Renner,Jeff Tomsic
Night Hunter,2018,"24,001",5.9,31,98,R,,Action,Henry Cavill,David Raymond
